page_id,name,page_created,page_type,count,fb,wel_opens,wel_clicks,wel_acts,opens_14day,clicks_14day,acts_14day,num_donations_14day,amt_donations_14day,num_recur_14day,amt_recur_14day,usa,can,uk,aus,nz,nuk_eur,row,en,de,fr,acts_90day,num_donations_90day,amt_donations_90day
8995,canada-voting-image-generator,2015-10-12 16:25:24,Petition,1876,1876,1395,305,393,2329,474,533,1,8.47,"","",5,1864,2,0,0,4,1,1872,0,4,511,4,63.33
8986,twn-legal,2015-10-12 11:04:53,Donation,66,4,39,14,33,62,20,99,71,1412.23,"","",28,15,18,0,2,3,0,66,0,0,120,80,1641.90
8985,nestle-esclavage,2015-10-12 11:01:54,Petition,24837,21038,12096,4963,5225,23775,8833,9593,"","","","",115,3072,100,46,14,20436,1054,2045,30,22762,20849,31,248.81
8982,bayer-neonicotinoides,2015-10-12 09:58:57,Petition,13603,9732,5864,2813,2926,11483,4374,5635,"","","","",49,910,29,9,0,12308,298,1317,3,12283,14177,10,45.24
8940,canada-rejects-tpp,2015-10-09 21:08:57,Petition,659,344,575,107,184,1015,179,437,"","","","",12,629,2,2,1,11,2,653,1,5,671,14,124.10
8920,singapore-haze-olam,2015-10-08 15:16:18,Petition,140,122,109,30,32,176,41,54,"","","","",6,0,4,3,0,9,118,139,1,0,86,4,31.57
8919,merck-horse-blood-farms,2015-10-08 15:13:17,Petition,193,152,96,18,33,181,44,82,"","","","",38,13,79,19,4,33,7,190,1,2,118,1,1.45
8917,pepsico-indofood,2015-10-08 13:54:18,Petition,3360,2831,2230,529,604,3727,882,1199,10,173.57,"","",871,216,553,287,54,1149,230,3329,10,21,2662,108,1001.55
8911,scottish-councils-trade-union-bill,2015-10-07 23:12:14,Petition,3778,3684,1992,381,623,3822,605,808,"","","","",6,0,3728,11,2,26,5,3778,0,0,2317,64,493.18
8874,nestle-chocolate-child-slaves,2015-10-05 23:20:44,Petition,246,225,127,19,33,252,34,61,"","","","",79,6,48,10,2,80,21,242,1,3,106,3,30.77
8867,no-to-tpp,2015-10-05 18:40:44,Petition,6683,4333,4728,1065,984,9635,1857,3045,36,363.78,2,7.64,1352,818,882,1585,1012,844,190,6617,27,39,5854,208,1899.13
8849,monsanto-agm-donate,2015-10-05 10:30:43,Donation,74,1,54,11,13,115,30,99,90,1870.00,1,2.76,24,12,18,6,3,9,2,74,0,0,180,108,2120.72
8791,turnbull-sunday-penalty-rates,2015-10-02 18:55:12,Petition,380,365,223,48,61,377,70,88,"","","","",0,0,2,378,0,0,0,380,0,0,98,4,32.68
8771,Coca-Cola-Greenwashing-de,2015-10-02 11:36:11,Petition,60,50,24,29,33,60,48,64,"","","","",0,0,0,0,0,60,0,9,51,0,172,1,5.37
8731,pferde-merck-de,2015-10-01 17:51:21,Petition,42249,27484,19109,7787,8124,43604,14838,19447,2,45.16,"","",156,31,58,47,7,41722,228,4920,37229,100,42101,14,238.73
8722,eu-commission-dow-french,2015-10-01 16:00:58,Petition,6229,3063,4021,2035,2113,9728,3401,4512,1,2.28,"","",17,48,20,9,1,5991,143,797,2,5430,8468,5,22.16
8641,maxima_chaupe_oct,2015-09-30 11:11:09,Donation,151,5,106,40,64,206,70,248,163,2174.65,"","",27,21,52,15,14,19,3,151,0,0,350,191,2783.73
8610,bayer-oekosystem-fb-de,2015-09-29 08:49:15,Petition,796,298,377,201,175,971,507,456,"","","","",5,1,1,1,0,784,4,121,672,3,972,"",""
8603,coca-cola-sri-lanka,2015-09-28 16:26:48,Petition,1442,596,886,457,469,987,502,979,"","","","",7,41,5,0,0,1326,63,123,0,1319,2180,"",""
8601,legal-neonics-eu,2015-09-28 14:30:55,Donation,355,29,248,66,71,618,124,447,402,6334.34,8,33.79,99,0,135,60,8,43,10,354,0,1,659,436,6716.37
8578,election-research,2015-09-26 00:20:53,Donation,96,4,88,12,12,198,30,114,103,2458.33,"","",0,96,0,0,0,0,0,95,0,1,163,110,2632.27
8564,stoptpp-atlanta-,2015-09-25 10:43:47,Petition,556,199,427,88,82,968,230,487,15,280.42,1,7.17,238,23,10,88,111,32,54,552,3,1,948,31,407.45
8549,bahn-babys-de,2015-09-24 10:32:49,Petition,260,147,117,40,51,315,117,226,"","","","",2,0,1,0,0,257,0,58,202,0,400,"",""
8514,tpp-drug-markup,2015-09-22 23:04:58,Petition,97,76,62,16,23,128,25,48,1,3.87,"","",38,9,20,12,3,6,9,96,0,1,90,1,3.87
8480,martin-shkreli,2015-09-21 22:32:25,Petition,19949,15431,12885,2744,2796,26896,4649,6261,149,1540.58,3,36.38,7285,2040,5092,1385,397,2772,978,19845,20,84,11954,400,4275.11
8282,SSSI-fracking,2015-09-18 23:43:18,Petition,11338,11015,5461,1191,2005,13079,2280,2896,65,618.57,1,7.57,149,32,10597,65,30,382,83,11313,10,15,6207,267,2280.60
8267,ttip-eci-donate,2015-09-18 09:20:16,Donation,117,1,74,21,24,167,31,151,131,1996.09,2,6.13,0,0,70,0,1,46,0,117,0,0,295,152,3979.72
8266,tpp-atlanta,2015-09-18 09:13:43,Donation,53,3,43,16,12,84,21,67,62,843.04,"","",16,6,1,12,18,0,0,53,0,0,99,68,994.75
8097,petco-goldman-sachs,2015-09-16 15:27:58,Petition,72,22,41,14,33,80,22,87,"","","","",71,0,0,0,0,0,1,72,0,0,93,"",""
8013,serco-fines,2015-09-16 11:13:49,Petition,64,63,48,8,7,105,23,21,"","","","",0,0,2,3,59,0,0,64,0,0,37,2,7.24
7409,email-world-bank,2015-09-14 21:10:05,Petition,395,234,265,53,90,629,110,291,3,53.32,"","",142,48,61,19,13,75,37,394,0,1,456,17,138.90
7399,abbot-pt-submissions,2015-09-14 12:47:29,Petition,243,37,194,38,54,470,96,250,5,78.79,"","",9,3,5,214,2,9,1,237,5,1,403,14,125.99
7398,EU-Kommission-Bienenkiller-de,2015-09-14 11:55:28,Petition,22898,9499,10835,6781,6647,25984,14663,18105,1,6.70,1,6.70,76,14,23,8,4,22689,84,3650,19204,44,39950,22,609.76
